Designator,Mid X,Mid Y,Rotation,Layer
2.4TFT1,100.405375,-101.479234,90.0,top
C1,110.2,-119.825,270.0,top
C10,80.2,-121.65,90.0,top
C2,116.9,-119.85,270.0,top
C3,139.0,-110.5,0.0,top
C4,139.0,-108.5,0.0,top
C5,143.05,-110.5,180.0,top
C6,143.05,-108.5,180.0,top
C7,140.2,-103.95,90.0,top
D1,141.5,-121.5,0.0,top
D2,152.1,-98.6375,90.0,top
D3,144.0,-116.5,90.0,top
D4,120.6125,-121.6,180.0,top
D5,120.55,-118.8,180.0,top
H1,152.0,-78.0,0.0,top
H2,50.020375,-77.979234,0.0,top
H3,50.020375,-126.479234,0.0,top
H4,152.0,-126.5,0.0,top
J1,137.0,-128.0,90.0,top
J13,152.5,-116.5,90.0,top
J2,131.7,-105.3,180.0,top
J3,65.520375,-77.479234,90.0,top
J4,65.520375,-127.479234,90.0,top
Q1,132.5,-123.0,270.0,top
R1,143.9125,-113.5,180.0,top
R10,124.5375,-121.6,180.0,top
R11,124.4375,-118.7,0.0,top
R18,82.6,-121.6,270.0,top
R19,96.1,-122.4,180.0,top
R2,146.0,-120.0875,270.0,top
R21,68.6,-83.2,270.0,top
R24,66.0,-83.2,270.0,top
R25,67.095375,-105.979234,0.0,top
R26,67.095375,-99.979234,0.0,top
R27,67.057875,-112.479234,0.0,top
R28,67.057875,-93.479234,180.0,top
R3,152.05,-95.0875,270.0,top
R38,125.1125,-83.8,180.0,top
R39,125.1375,-79.4,0.0,top
R4,139.9125,-117.5,180.0,top
R40,125.0875,-81.8,180.0,top
R5,139.9125,-115.5,180.0,top
R6,136.0,-123.5,0.0,top
R7,135.9125,-121.5,180.0,top
R8,135.5,-110.4125,270.0,top
R9,132.0375,-111.0,180.0,top
SW1,58.75,-85.25,0.0,bottom
SW2,58.75,-97.129234,0.0,bottom
SW3,58.75,-109.229234,0.0,bottom
SW4,58.75,-121.729234,0.0,bottom
U1,101.200375,-101.779234,90.0,top
U13,134.86,-90.86,0.0,top
U2,134.0,-116.45,270.0,top
U3,113.35,-119.6625,90.0,top
